,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,prediction
0,124.96,128.19,124.31,127.49,9437856.0,142.27
1,127.49,130.17,126.55,129.41,7843559.0,142.01
2,129.22,132.75,128.9,131.81,10185516.0,142.22
3,132.08,133.88,129.81,131.07,10657878.0,142.6
4,131.48,131.99,129.89,130.95,5771835.0,143.86
5,131.27,132.22,129.29,129.89,5985809.0,142.78
6,130.91,131.5,129.2475,130.5,5615061.0,143.25
7,130.63,130.85,128.5,129.18,5388880.0,143.41
8,131.15,133.93,130.58,133.7,10515015.0,142.13
9,135.04,135.4,132.09,132.89,12220202.0,142.65
10,133.21,133.65,131.06,133.26,16168617.0,139.53
11,142.01,143.46,138.25,138.41,23203441.0,139.14
12,139.36,140.79,137.66,138.6,9497394.0,141.94
13,138.65,139.49,137.31,137.39,7433896.0,141.43
14,138.11,140.93,137.03,140.11,7754673.0,140.32
15,140.8,141.39,139.05,139.52,7612888.0,140.53
16,140.45,141.21,138.51,138.96,6038313.0,140.89
17,139.46,142.49,139.0,142.45,8323866.0,143.52
18,141.77,141.967,138.8,141.22,8122481.0,143.19
19,140.55,141.83,139.7,140.71,4411631.0,145.25
20,141.2,142.41,139.3,140.78,6033422.0,144.39
21,140.61,141.04,139.05,139.2,3462370.0,145.11
22,139.51,140.64,139.1,140.25,3512568.0,145.83
23,140.0,141.0,139.16,140.97,3552066.0,142.42
24,141.49,144.28,141.05,144.0,8573515.0,142.65
25,143.57,145.07,142.56,144.74,6887050.0,141.84
26,144.98,145.09,143.58,144.14,4555119.0,142.02
27,144.68,145.2992,143.97,144.82,6171936.0,144.06
28,145.19,145.95,143.05,143.2,4790435.0,145.17
29,143.2,144.11,140.05,140.82,8367786.0,146.47
30,140.72,142.43,140.51,142.27,5309050.0,148.06
31,142.42,142.44,141.07,142.01,2847496.0,147.81
32,141.75,142.9,141.27,142.22,4588073.0,146.92
33,142.99,143.38,141.81,142.6,3571481.0,145.5
34,142.92,144.0,142.17,143.86,3481968.0,143.62
35,144.45,144.49,141.5196,142.78,4667978.0,143.74
36,141.88,143.56,141.55,143.25,3302714.0,143.11
37,143.12,143.92,142.38,143.41,3907377.0,143.85
38,143.3,143.57,141.85,142.13,3862221.0,144.35
39,142.84,143.26,142.1,142.65,4170649.0,143.83
40,142.15,142.7,139.09,139.53,6119945.0,142.92
41,139.69,140.91,138.26,139.14,5401104.0,147.25
42,141.0,142.84,140.54,141.94,7116118.0,143.36
43,141.99,142.4,140.38,141.43,4241037.0,139.76
44,141.47,142.06,139.7704,140.32,4092550.0,141.18
45,140.04,141.24,139.74,140.53,2652740.0,142.87
46,141.39,141.8,140.28,140.89,3318464.0,143.83
47,140.9,143.71,140.321,143.52,4922432.0,152.16
48,142.95,143.31,141.7,143.19,4660294.0,150.17
49,144.2,145.52,143.23,145.25,5987198.0,153.08
50,145.5,146.5,144.22,144.39,5286456.0,152.2
51,144.05,145.76,143.4,145.11,6281316.0,155.35
52,145.45,146.25,144.58,145.83,3421046.0,156.45
53,146.75,147.7,142.1,142.42,7669753.0,155.59
54,142.545,143.8,140.76,142.65,6486893.0,157.25
55,142.14,142.89,141.26,141.84,3712625.0,156.6
56,142.36,142.8,141.58,142.02,3546599.0,156.38
57,140.83,144.39,140.0,144.06,4771650.0,157.46
58,144.1,146.11,143.92,145.17,4638003.0,160.28
59,145.5,147.18,144.9089,146.47,3855031.0,158.54
60,146.81,148.29,146.53,148.06,4461068.0,160.81
61,148.0,148.225,147.33,147.81,3888237.0,160.02
62,146.7,148.005,145.74,146.92,4609336.0,159.41
63,146.84,147.09,144.89,145.5,4368919.0,153.2
64,146.19,146.25,143.26,143.62,4607636.0,155.7
65,144.0,144.14,143.01,143.74,3312410.0,157.02
66,143.79,143.89,142.71,143.11,3032571.0,157.16
67,143.04,144.65,141.21,143.85,5807440.0,157.95
68,144.28,144.54,141.98,144.35,4621451.0,157.75
69,144.85,145.74,143.55,143.83,4386954.0,163.05
70,144.25,144.55,142.76,142.92,3685789.0,162.43
71,144.43,147.32,144.43,147.25,16364743.0,163.22
72,147.34,147.4,140.0,143.36,19670975.0,163.07
73,143.37,144.0,138.66,139.76,12395064.0,162.99
74,140.3,141.8,139.27,141.18,7248180.0,165.18
75,141.39,143.03,140.9028,142.87,6824786.0,165.06
76,143.61,144.5,143.4,143.83,4792928.0,165.17
77,147.46,153.52,146.22,152.16,20578697.0,165.61
78,151.53,152.15,148.9,150.17,9196892.0,165.88
79,150.6,153.49,149.3,153.08,7643227.0,158.03
80,152.71,152.97,150.94,152.2,6311736.0,151.44
81,151.91,157.7,151.61,155.35,8964849.0,152.72
82,155.76,156.5,154.61,156.45,4983533.0,152.2
83,156.29,156.54,154.88,155.59,3864199.0,151.76
84,155.59,157.9,154.55,157.25,5345797.0,152.38
85,158.55,158.59,155.9,156.6,5316045.0,153.4
86,156.55,157.64,155.3,156.38,4780919.0,152.05
87,156.1,157.85,155.97,157.46,3886416.0,155.03
88,157.82,161.1,156.56,160.28,6834094.0,154.89
89,160.33,160.52,157.55,158.54,5534257.0,158.03
90,159.11,160.84,158.51,160.81,5069936.0,157.5
91,160.25,161.78,159.76,160.02,4931529.0,151.03
92,160.5,161.18,159.33,159.41,3366344.0,153.41
93,158.09,158.78,153.0,153.2,8042402.0,150.09
94,153.61,156.89,153.24,155.7,6249052.0,149.41
95,156.15,158.05,155.91,157.02,4050649.0,146.17
96,157.86,158.6,156.43,157.16,3720885.0,147.61
97,157.75,158.31,156.8,157.95,3333727.0,146.25
98,158.35,158.48,157.17,157.75,2963515.0,150.18
99,161.0,164.1,160.55,163.05,8467678.0,152.67
100,162.84,163.05,161.12,162.43,4804219.0,154.33
101,163.6,164.75,162.71,163.22,4791959.0,158.75
102,163.61,164.0,160.74,163.07,5251201.0,158.17
103,163.52,163.9316,161.7,162.99,3869808.0,161.12
104,163.42,165.36,162.8,165.18,4217679.0,161.7
105,165.49,165.5,163.43,165.06,3830296.0,183.6
106,164.95,166.82,164.51,165.17,4325459.0,183.86
107,165.6,166.4,164.4086,165.61,3285592.0,183.6
108,166.12,166.87,164.84,165.88,3666393.0,188.54
109,166.27,166.27,154.5,158.03,10255110.0,187.91
110,155.3,155.53,148.31,151.44,14045559.0,186.97
111,154.38,155.68,150.13,152.72,8379437.0,189.08
112,154.34,155.615,150.28,152.2,6364572.0,182.68
113,149.44,152.56,147.3,151.76,6976720.0,184.04
114,151.45,153.53,150.39,152.38,6751799.0,181.66
115,154.29,155.58,152.41,153.4,6461866.0,182.03
116,153.68,154.5,151.4,152.05,4850911.0,180.74
117,152.5,155.38,152.26,155.03,5783436.0,179.23
118,155.13,155.2,153.7,154.89,3735995.0,180.27
119,155.01,158.19,153.76,158.03,6086644.0,181.33
120,158.78,159.97,156.56,157.5,5951060.0,178.36
121,156.62,156.9775,150.7197,151.03,7386827.0,175.78
122,151.64,154.2,150.12,153.41,5522740.0,169.14
123,152.82,152.82,148.0,150.09,7106930.0,171.4
124,149.76,150.71,148.42,149.41,5164844.0,171.0
125,149.8,150.45,145.8,146.17,3907790.0,168.5
126,146.58,148.26,145.58,147.61,4469163.0,169.98
127,146.13,147.27,144.25,146.25,5253871.0,166.09
128,146.65,150.75,146.65,150.18,5490809.0,166.54
129,150.34,153.23,149.65,152.67,5113353.0,166.76
130,152.37,155.23,151.55,154.33,4824579.0,169.34
131,155.77,158.8,155.77,158.75,8095303.0,169.06
132,158.51,160.13,156.98,158.17,6666000.0,168.13
133,159.3,161.35,157.97,161.12,5412128.0,165.95
134,162.91,163.55,160.0201,161.7,12299024.0,167.12
135,176.12,185.0,174.24,183.6,40126110.0,168.81
136,182.97,187.17,181.75,183.86,17149580.0,174.69
137,183.84,185.92,182.7,183.6,7688768.0,174.71
138,182.72,191.5,182.71,188.54,9215232.0,174.74
139,188.685,190.25,187.01,187.91,8646192.0,174.52
140,187.79,188.66,185.81,186.97,5357533.0,179.25
141,187.7,189.7043,187.51,189.08,4354866.0,179.0
142,189.89,190.0,179.38,182.68,11013995.0,176.42
143,182.0,185.03,181.18,184.04,6166404.0,181.74
144,184.26,184.9738,180.65,181.66,4776740.0,185.15
145,182.49,184.62,181.43,182.03,5003248.0,183.64
146,182.22,182.57,177.8149,180.74,5713517.0,182.63
147,180.53,181.2248,178.02,179.23,4596187.0,182.1
148,179.6,181.0,178.5,180.27,4446148.0,184.62
149,181.0,182.27,179.1,181.33,4470746.0,185.68
150,181.37,181.91,177.45,178.36,4806525.0,185.51
151,171.43,175.96,170.01,175.78,9573608.0,188.78
152,174.03,174.45,167.6,169.14,9539473.0,187.35
153,169.86,172.58,169.0,171.4,4972045.0,178.55
154,169.8,172.45,168.8,171.0,7377962.0,179.38
155,171.53,171.88,168.25,168.5,5470271.0,181.97
156,167.5,170.5,166.25,169.98,6916579.0,180.7
157,169.23,170.58,165.72,166.09,5161920.0,181.35
158,165.95,169.97,165.8,166.54,7363750.0,177.01
159,166.91,168.99,164.23,166.76,6303314.0,179.19
160,167.76,169.93,167.04,169.34,4857816.0,184.45
161,168.35,169.64,166.7,169.06,4616656.0,194.39
162,169.86,171.2363,166.15,168.13,5270931.0,198.02
163,168.58,168.75,165.5,165.95,4045626.0,196.87
164,166.43,168.67,165.6,167.12,3619575.0,195.08
165,165.0,169.68,164.73,168.81,4573282.0,194.95
166,169.5,174.85,169.37,174.69,7985196.0,195.86
167,175.45,176.24,173.86,174.71,6886143.0,199.49
168,175.55,176.48,173.92,174.74,3781453.0,202.68
169,173.4,175.88,172.44,174.52,4580903.0,199.48
170,175.25,179.46,173.73,179.25,8695383.0,195.54
171,178.8,180.35,177.1,179.0,5938152.0,195.13
172,178.45,180.39,176.25,176.42,4577777.0,194.16
173,178.1,182.47,178.03,181.74,5936476.0,192.47
174,182.55,185.33,180.6435,185.15,6606688.0,196.02
175,184.07,184.4995,182.55,183.64,4303277.0,193.77
176,183.25,185.2882,182.07,182.63,4469985.0,195.21
177,182.73,184.93,181.43,182.1,5442089.0,199.54
178,183.61,185.45,182.73,184.62,5318130.0,198.37
179,184.98,186.23,184.17,185.68,4951465.0,196.43
180,186.1,186.5,183.2,185.51,4473036.0,198.0
181,185.82,189.95,184.51,188.78,7113489.0,199.32
182,188.4,189.85,186.39,187.35,5420227.0,200.01
183,186.46,186.55,177.7,178.55,9322531.0,200.13
184,180.7,180.95,176.55,179.38,5572599.0,195.89
185,181.01,183.34,180.7,181.97,4963152.0,193.9
186,181.25,181.95,179.36,180.7,4064507.0,192.02
187,180.73,182.9,180.65,181.35,4193999.0,195.08
188,182.11,182.8,176.58,177.01,7316345.0,195.71
189,177.65,179.7,177.55,179.19,3903112.0,192.12
190,181.41,186.7,181.25,184.45,9170855.0,195.51
191,185.65,194.49,184.49,194.39,19270032.0,193.2
192,194.3,198.92,192.05,198.02,15096222.0,194.1
193,199.1,199.4,196.56,196.87,6912140.0,196.23
194,197.85,198.3,192.1,195.08,6179012.0,196.32
195,195.57,196.2199,193.81,194.95,5544715.0,195.75
196,196.75,198.62,194.71,195.86,7723224.0,195.05
197,199.7,200.8199,197.1866,199.49,11929816.0,199.18
198,201.95,202.83,197.86,202.68,18103086.0,188.15
199,200.11,204.38,197.77,199.48,23819054.0,187.58
200,199.99,200.01,194.25,195.54,11133883.0,186.82
201,193.01,195.25,191.16,195.13,7007447.0,184.04
202,195.9,196.38,193.77,194.16,5907121.0,184.21
203,194.17,194.8999,191.0346,192.47,6952997.0,185.3
204,192.75,196.735,191.4,196.02,6985460.0,185.2
205,195.38,197.055,193.01,193.77,5231713.0,188.54
206,194.66,197.61,194.08,195.21,5101258.0,186.22
207,197.2,200.65,196.22,199.54,8088364.0,185.73
208,199.62,201.09900000000002,197.0721,198.37,5412277.0,187.86
209,198.21,198.59,195.218,196.43,5437925.0,189.56
210,197.24,199.199,196.0,198.0,4983343.0,190.12
211,197.45,199.44,197.0901,199.32,3578289.0,190.42
212,199.8,200.55,197.99,200.01,3643216.0,187.02
213,200.0,202.48,198.09,200.13,5834857.0,188.82
214,200.0,200.61,194.8,195.89,6413310.0,188.62
215,194.46,194.49,190.81,193.9,5839579.0,189.94
216,191.61,192.59,189.5,192.02,6609739.0,187.76
217,191.12,196.05,191.0,195.08,4598005.0,186.24
218,193.64,195.88,193.0,195.71,3408535.0,192.71
219,194.54,195.42,191.53,192.12,4162712.0,191.96
